,Country,Latitude,Longitude
0,Afghanistan,33.93911,67.709953
1,Angola,-11.202692,17.873887
2,Albania,41.153332,20.168331
3,Andorra,42.506285,1.521801
4,United Arab Emirates,23.424076,53.847818
5,Argentina,-38.416097,-63.61667199999999
6,Armenia,40.069099,45.038189
7,Antigua and Barbuda,17.060816,-61.796428
8,Australia,-25.274398,133.775136
9,Austria,47.516231,14.550072
10,Azerbaijan,40.143105,47.576927
11,Burundi,-3.373056,29.918886
12,Belgium,50.503887,4.469936
13,Benin,9.30769,2.315834
14,Burkina Faso,12.238333,-1.561593
15,Bangladesh,23.684994,90.356331
16,Bulgaria,42.733883,25.48583
17,Bahrain,26.0667,50.5577
18,Bahamas,25.03428,-77.39627999999999
19,Bosnia and Herzegovina,43.915886,17.679076
20,Belarus,53.709807,27.953389
21,Belize,17.189877,-88.49765
22,Bolivia (Plurinational State of),-16.290154,-63.58865299999999
23,Brazil,-14.235004,-51.92528
24,Barbados,13.193887,-59.543198
25,Brunei Darussalam,4.535277,114.727669
26,Bhutan,27.514162,90.433601
27,Botswana,-22.328474,24.684866
28,Central African Republic,6.611110999999999,20.939444
29,Canada,56.130366,-106.346771
30,Switzerland,46.818188,8.227511999999999
31,Chile,-35.675147,-71.542969
32,China,35.86166,104.195397
33,Côte d'Ivoire,7.539988999999999,-5.547079999999999
34,Cameroon,7.369721999999999,12.354722
35,Democratic Republic of the Congo,-4.038333,21.758664
36,Congo,-4.038333,21.758664
37,Cook Islands,-21.236736,-159.777671
38,Colombia,4.570868,-74.297333
39,Comoros,-11.6455,43.3333
40,Cape Verde,15.120142,-23.6051868
41,Costa Rica,9.748916999999999,-83.753428
42,Cuba,21.521757,-77.781167
43,Cyprus,35.126413,33.429859
44,Czech Republic,49.81749199999999,15.472962
45,Germany,51.165691,10.451526
46,Djibouti,11.825138,42.590275
47,Dominica,15.414999,-61.37097600000001
48,Denmark,56.26392,9.501785
49,Dominican Republic,18.735693,-70.162651
50,Algeria,28.033886,1.659626
51,Ecuador,-1.831239,-78.18340599999999
52,Egypt,26.820553,30.802498
53,Eritrea,15.179384,39.782334
54,Spain,40.46366700000001,-3.74922
55,Estonia,58.595272,25.013607
56,Ethiopia,9.145000000000001,40.489673
57,Finland,61.92410999999999,25.748151
58,Fiji,-17.713371,178.065032
59,France,46.227638,2.213749
